Gene,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA tissue cell type enrichment
ADAMTS18,Group enriched,Detected in some,5,brain: 14.3;placenta: 19.9,"Adipose visceral - Endothelial cells, Breast - Endothelial cells"
ADAMTS19,Group enriched,Detected in some,11,cervix: 9.8;endometrium 1: 9.5;placenta: 3.6;smooth muscle: 5.7,Kidney - Podocytes
ADAMTS3,Tissue enhanced,Detected in many,,retina: 8.1,"Adipose visceral - Mesothelial cells, Breast - Fibroblasts"
ADAMTS4,Tissue enhanced,Detected in many,,adipose tissue: 113.0;ovary: 92.8,"Breast - Endothelial cells, Colon - Neutrophils"
ADAMTS5,Tissue enhanced,Detected in many,,ovary: 24.6;placenta: 25.3,Liver - Hepatic stellate cells
ADAMTS6,Tissue enhanced,Detected in some,,placenta: 1.8,Testis - Early spermatids
ADAMTS7,Tissue enriched,Detected in many,4,heart muscle: 29.6,"Colon - Enteric glia cells, Skeletal muscle - Fibroblasts, Stomach - Fibroblasts"
ADAMTS8,Tissue enhanced,Detected in many,,lung: 26.7,
ADAMTS9,Tissue enhanced,Detected in many,,adipose tissue: 39.8,"Breast - Endothelial cells, Heart muscle - Endothelial cells"
ADAMTSL1,Tissue enhanced,Detected in many,,endometrium 1: 12.9;smooth muscle: 10.8,"Breast - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Skeletal muscle - Fibroblasts, Skin - Fibroblast_2, Stomach - Fibroblasts, Thyroid - Fibroblasts"
ADAMTSL2,Tissue enhanced,Detected in many,,heart muscle: 70.8;liver: 35.0,"Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells"
ADAMTSL5,Tissue enhanced,Detected in many,,cervix: 31.9,"Adipose subcutaneous - Smooth muscle cells, Breast - Breast glandular cells, Skeletal muscle - Skeletal myocytes, Thyroid - Fibroblasts"
ADAP1,Tissue enhanced,Detected in many,,brain: 128.0,"Adipose subcutaneous - Macrophages, Skeletal muscle - Macrophages"
ADARB1,Tissue enhanced,Detected in all,,urinary bladder: 57.0,"Liver - Vascular Endothelial cells, Lung - Fibroblast_1"
ADARB2,Tissue enriched,Detected in some,8,brain: 31.9,
ADCY1,Group enriched,Detected in many,4,brain: 35.8;liver: 18.7;retina: 51.4,Testis - Spermatogonia
ADCY10,Group enriched,Detected in some,7,liver: 5.9;testis: 17.1,Testis - Early spermatids
ADCY2,Group enriched,Detected in many,6,brain: 36.6;skeletal muscle: 66.0;tongue: 29.6,Breast - Fibroblasts
ADCY5,Tissue enhanced,Detected in many,,brain: 67.0;heart muscle: 102.3,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Liver - Hepatic stellate cells, Lung - Smooth muscle cells, Thyroid - Smooth muscle cells"
ADCY7,Tissue enhanced,Detected in many,,lymphoid tissue: 28.9,Skeletal muscle - Fibroblasts
ADCY8,Group enriched,Detected in some,4,brain: 8.1;epididymis: 22.3,"Lung - Alveolar cells type 2, Skin - Eccrine sweat gland cells, Testis - Early spermatids"
ADCY9,Tissue enhanced,Detected in all,,skeletal muscle: 51.0,"Testis - Sertoli cells, Thyroid - Thyroid glandular cells"
ADCYAP1,Tissue enhanced,Detected in many,,brain: 12.0;lymphoid tissue: 10.6,"Colon - Colon enteroendocrine cells, Pancreas - Beta cells"
ADCYAP1R1,Group enriched,Detected in many,4,brain: 79.0;fallopian tube: 29.2,Pancreas - Fibroblasts
ADD2,Tissue enhanced,Detected in many,,bone marrow: 65.6;brain: 38.0,Testis - Late spermatids
ADGB,Tissue enhanced,Detected in some,,choroid plexus: 4.8;fallopian tube: 7.3;testis: 25.4,"Lung - Respiratory ciliated cells, Testis - Early spermatids"
ADGRA1,Tissue enriched,Detected in some,7,brain: 26.9,"Colon - Colon enteroendocrine cells, Lung - Respiratory ciliated cells, Pancreas - Alpha cells, Pancreas - Beta cells"
ADGRA3,Tissue enhanced,Detected in all,,liver: 56.5,"Adipose subcutaneous - Adipocytes (Subcutaneous), Thyroid - Thyroid glandular cells"
ADGRB1,Tissue enriched,Detected in many,7,brain: 46.9,
ADGRB2,Tissue enriched,Detected in many,9,brain: 77.5,Stomach - Fibroblasts
ADGRB3,Group enriched,Detected in many,4,brain: 29.2;pituitary gland: 23.1,"Colon - Enteric glia cells, Liver - Hepatic stellate cells, Lung - Fibroblast_1, Prostate - Fibroblasts, Testis - Early spermatids"
ADGRD1,Tissue enhanced,Detected in many,,heart muscle: 60.3,Adipose visceral - Mesothelial cells
ADGRD2,Tissue enhanced,Detected in single,,seminal vesicle: 2.1,Testis - Late spermatids
ADGRE1,Tissue enhanced,Detected in some,,bone marrow: 6.7;lymphoid tissue: 14.4,
ADGRE2,Tissue enhanced,Detected in many,,lymphoid tissue: 18.8,Lung - Neutrophil_2
ADGRE3,Tissue enhanced,Detected in some,,bone marrow: 3.1;lymphoid tissue: 5.9,"Adipose visceral - Neutrophils, Stomach - Neutrophils"
ADGRE5,Tissue enhanced,Detected in many,,bone marrow: 209.5,Adipose subcutaneous - Adipose progenitor cells
ADGRF1,Group enriched,Detected in many,4,esophagus: 17.0;kidney: 19.7;urinary bladder: 41.0,"Lung - Alveolar cells type 2, Pancreas - Ductal cells, Prostate - Urothelial cells, Stomach - Gastric mucous cells, Testis - Sertoli cells"
ADGRF3,Tissue enhanced,Detected in single,,pancreas: 1.0,"Kidney - Ascending Loop of Henle cells, Testis - Late spermatids"
ADGRF4,Tissue enhanced,Detected in some,,esophagus: 17.8;skin 1: 37.7,Prostate - Urothelial cells
ADGRF5,Tissue enhanced,Detected in many,,lung: 102.7,"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Liver - Vascular Endothelial cells, Pancreas - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells, Stomach - Endothelial cells, Testis - Endothelial cells, Thyroid - Endothelial cells"
ADGRG1,Tissue enhanced,Detected in all,,thyroid gland: 209.8,"Adipose visceral - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Prostate - Prostate basal glandular cells, Skeletal muscle - Endothelial cells, Testis - Sertoli cells"
ADGRG2,Tissue enriched,Detected in many,8,epididymis: 1198.7,"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Colon - Colon enteroendocrine cells"
ADGRG3,Tissue enriched,Detected in many,5,bone marrow: 145.6,"Adipose visceral - Neutrophils, Heart muscle - Neutrophils, Liver - Neutrophils, Lung - Neutrophil_2, Skeletal muscle - Neutrophils"
ADGRG4,Tissue enhanced,Detected in some,,fallopian tube: 1.0;intestine: 2.4;retina: 1.1,
ADGRG5,Group enriched,Detected in some,5,intestine: 3.8;lymphoid tissue: 10.2,"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Heart muscle - T-cells, Prostate - T-cells, Thyroid - T-cells"
ADGRG6,Tissue enhanced,Detected in many,,liver: 69.7;placenta: 45.9,"Adipose visceral - Mesothelial cells, Colon - Enteric glia cells, Skin - Keratinocyte (other), Testis - Spermatogonia"
ADGRG7,Group enriched,Detected in some,15,intestine: 41.7;liver: 24.0,Colon - Colon enterocytes
ADGRL1,Tissue enhanced,Detected in many,,brain: 72.3,Testis - Spermatogonia
ADGRL3,Tissue enhanced,Detected in many,,brain: 24.1,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Breast - Smooth muscle cells, Colon - Enteric glia cells, Liver - Hepatic stellate cells, Prostate - Fibroblasts, Skin - Outer root sheath cells, Thyroid - Smooth muscle cells"
ADGRL4,Tissue enhanced,Detected in many,,adipose tissue: 70.8,"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Lung - Endothelial cells, Pancreas - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells, Stomach - Endothelial cells, Thyroid - Endothelial cells"
ADGRV1,Tissue enriched,Detected in many,12,adrenal gland: 516.2,"Kidney - Ascending Loop of Henle cells, Liver - Hepatocytes, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Skin - Eccrine sweat gland cells, Thyroid - Thyroid glandular cells"
ADH1A,Tissue enriched,Detected in some,305,liver: 2653.7,"Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Liver - Hepatocytes"
ADH1B,Tissue enhanced,Detected in many,,adipose tissue: 1449.1;liver: 5678.8,"Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Kidney - Fibroblasts, Liver - Hepatocytes, Pancreas - Fibroblasts, Testis - Endothelial cells"
ADH1C,Group enriched,Detected in many,21,intestine: 581.0;liver: 1997.6;stomach 1: 555.8,"Liver - Hepatocytes, Stomach - Gastric mucous cells"
ADH4,Tissue enriched,Detected in some,31,liver: 4994.3,"Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids"
ADH6,Tissue enriched,Detected in some,14,liver: 682.3,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Respiratory ciliated cells"
ADH7,Tissue enriched,Detected in some,5,esophagus: 194.1,"Liver - Hepatocytes, Lung - Respiratory ciliated cells, Stomach - Gastric mucous cells"
ADHFE1,Tissue enhanced,Detected in many,,liver: 30.4;skeletal muscle: 28.2;tongue: 30.1,"Adipose visceral - Adipocytes (Visceral), Heart muscle - Cardiomyocytes, Liver - Hepatocytes"
ADI1,Tissue enhanced,Detected in all,,liver: 572.8,"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes"
ADIG,Tissue enriched,Detected in some,21,testis: 52.0,Testis - Late spermatids
ADIPOQ,Group enriched,Detected in many,28,adipose tissue: 866.9;breast: 241.0,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Skin - Adipocytes (Skin)"
ADIRF,Tissue enhanced,Detected in all,,adipose tissue: 1195.0,
ADK,Tissue enhanced,Detected in all,,liver: 146.5,"Liver - Hepatocytes, Lung - Alveolar cells type 2, Testis - Sertoli cells, Thyroid - Thyroid glandular cells"
ADM,Tissue enhanced,Detected in all,,adipose tissue: 329.3,Testis - Endothelial cells
ADM2,Tissue enhanced,Detected in many,,kidney: 8.1;pancreas: 15.0;thyroid gland: 11.2,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Prostate - Prostate glandular cells"
ADNP2,Tissue enhanced,Detected in all,,bone marrow: 40.8,"Testis - Spermatocytes, Testis - Spermatogonia"
ADORA1,Tissue enhanced,Detected in many,,brain: 44.2;testis: 20.9,"Adipose subcutaneous - Adipocytes (Subcutaneous), Heart muscle - Cardiomyocytes, Kidney - Podocytes, Skin - Eccrine sweat gland cells, Testis - Sertoli cells"
ADORA2A,Group enriched,Detected in many,4,bone marrow: 40.1;brain: 111.0;lymphoid tissue: 52.7,Kidney - Endothelial cells
ADORA2B,Tissue enhanced,Detected in many,,urinary bladder: 16.1,"Prostate - Urothelial cells, Skin - Keratinocyte (other)"
ADORA3,Tissue enhanced,Detected in many,,brain: 19.7,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Kidney - Macrophages, Liver - Kupffer cells, Lung - Macrophages, Pancreas - Macrophages, Prostate - Macrophages, Skeletal muscle - Macrophages, Skin - Macrophages, Stomach - Macrophages, Thyroid - Macrophages"
ADPRHL1,Group enriched,Detected in many,31,heart muscle: 282.5;skeletal muscle: 277.7;tongue: 220.1,Heart muscle - Cardiomyocytes
ADRA1A,Tissue enhanced,Detected in many,,adipose tissue: 21.0;liver: 58.3,"Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Prostate - Smooth muscle cells, Skin - Smooth muscle cells, Testis - Late spermatids"
ADRA1B,Tissue enhanced,Detected in many,,brain: 8.9;liver: 11.2;lymphoid tissue: 11.3,Breast - Adipocytes (Breast)
ADRA1D,Tissue enhanced,Detected in many,,brain: 6.8;cervix: 7.0,"Adipose visceral - Smooth muscle cells, Prostate - Smooth muscle cells"
ADRA2A,Tissue enhanced,Detected in many,,adipose tissue: 48.9;cervix: 45.1,"Adipose visceral - Adipocytes (Visceral), Kidney - Fibroblasts"
ADRA2C,Tissue enhanced,Detected in many,,cervix: 82.1;endometrium 1: 55.7,Thyroid - Smooth muscle cells
ADRB1,Tissue enhanced,Detected in many,,heart muscle: 22.9;lung: 12.7;placenta: 28.1,"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Prostate - Prostate glandular cells"
ADRB3,Tissue enhanced,Detected in some,,fallopian tube: 3.9;ovary: 11.3;urinary bladder: 4.5,"Breast - Adipocytes (Breast), Prostate - Fibroblasts"
ADRM1,Tissue enhanced,Detected in all,,skeletal muscle: 356.4,Testis - Late spermatids
ADSL,Group enriched,Detected in all,6,skeletal muscle: 333.1;tongue: 233.1,"Testis - Spermatocytes, Testis - Spermatogonia"
ADSS1,Group enriched,Detected in many,9,skeletal muscle: 1228.4;tongue: 586.3,"Heart muscle - Cardiomyocytes, Testis - Early spermatids, Testis - Late spermatids"
ADTRP,Tissue enhanced,Detected in many,,choroid plexus: 100.6;intestine: 95.7;parathyroid gland: 89.6,"Colon - Colon enterocytes, Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"
AFAP1L1,Tissue enhanced,Detected in many,,skeletal muscle: 30.4,"Colon - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Lung - Endothelial cells, Pancreas - Endothelial cells, Prostate - Endothelial cells, Thyroid - Endothelial cells"
AFAP1L2,Tissue enhanced,Detected in many,,lymphoid tissue: 62.8;parathyroid gland: 66.5;thyroid gland: 79.8,"Colon - Enteric glia cells, Liver - Hepatic stellate cells, Thyroid - Thyroid glandular cells"
AFF2,Tissue enhanced,Detected in many,,bone marrow: 11.9;epididymis: 11.6;placenta: 14.2,
AFG3L2,Tissue enhanced,Detected in all,,skeletal muscle: 109.5,"Liver - Hepatocytes, Testis - Spermatogonia, Thyroid - Thyroid glandular cells"
AFM,Tissue enriched,Detected in some,12,liver: 932.0,"Kidney - Proximal tubular cells, Liver - Hepatocytes"
AFMID,Tissue enhanced,Detected in all,,liver: 169.0,Prostate - Prostate basal glandular cells
AFP,Tissue enriched,Detected in single,10,liver: 3.6,"Kidney - Proximal tubular cells, Liver - Hepatocytes"
AGAP1,Tissue enhanced,Detected in many,,retina: 45.4,"Liver - Vascular Endothelial cells, Testis - Spermatogonia"
AGAP2,Tissue enriched,Detected in many,10,brain: 218.8,"Kidney - T-cells, Thyroid - T-cells"
AGAP3,Tissue enhanced,Detected in all,,brain: 270.4,
AGBL1,Group enriched,Detected in some,8,skeletal muscle: 7.6;tongue: 22.3,"Lung - Alveolar cells type 2, Testis - Early spermatids, Testis - Late spermatids"
AGBL2,Tissue enhanced,Detected in many,,fallopian tube: 7.4;testis: 12.0,"Liver - Hepatocytes, Lung - Respiratory ciliated cells, Testis - Early spermatids"
AGBL3,Tissue enhanced,Detected in many,,epididymis: 7.7,Testis - Early spermatids
AGBL4,Tissue enhanced,Detected in some,,brain: 4.7;retina: 4.6,"Lung - Respiratory ciliated cells, Testis - Early spermatids"
AGBL5,Group enriched,Detected in all,4,parathyroid gland: 48.3;testis: 187.3,"Testis - Early spermatids, Thyroid - Thyroid glandular cells"
AGER,Tissue enriched,Detected in many,19,lung: 704.7,Lung - Alveolar cells type 1
AGFG2,Tissue enriched,Detected in all,5,salivary gland: 280.8,
AGL,Group enriched,Detected in all,5,skeletal muscle: 248.4;tongue: 203.8,"Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"
AGMAT,Group enriched,Detected in many,4,kidney: 129.1;liver: 60.1;skeletal muscle: 33.0,"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"
AGMO,Tissue enriched,Detected in some,8,liver: 118.6,"Adipose visceral - Endothelial cells, Breast - Endothelial cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Endothelial cells"
AGPAT2,Tissue enhanced,Detected in many,,adipose tissue: 357.5;liver: 434.1,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Testis - Late spermatids"
AGPAT4,Tissue enriched,Detected in many,5,brain: 55.5,"Heart muscle - Fibroblasts, Thyroid - Fibroblasts"
AGPAT5,Tissue enhanced,Detected in all,,brain: 31.4,Testis - Early spermatids
AGR2,Tissue enhanced,Detected in many,,cervix: 615.9;intestine: 1184.3;stomach 1: 1365.8,"Breast - Breast glandular cells, Colon - Colon enterocytes, Lung - Alveolar cells type 2, Stomach - Gastric mucous cells, Testis - Early spermatids"
AGR3,Tissue enhanced,Detected in many,,fallopian tube: 217.5;intestine: 230.7;lung: 147.7,"Breast - Breast glandular cells, Colon - Colon enterocytes, Lung - Alveolar cells type 2, Stomach - Gastric mucous cells"
AGRP,Group enriched,Detected in some,7,adrenal gland: 12.0;brain: 23.0;epididymis: 36.2,Lung - Macrophages
AGT,Tissue enriched,Detected in many,6,liver: 1563.6,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Late spermatids"
AGTPBP1,Tissue enhanced,Detected in all,,bone marrow: 59.5;retina: 45.1,Testis - Early spermatids
AGTR1,Tissue enhanced,Detected in many,,liver: 93.7;placenta: 137.0,Breast - Adipocytes (Breast)
AGTR2,Tissue enhanced,Detected in some,,endometrium 1: 8.5;lung: 8.6;smooth muscle: 12.7,Lung - Alveolar cells type 2
AGXT,Tissue enriched,Detected in some,315,liver: 2145.9,"Adipose visceral - Adipocytes (Visceral), Kidney - Proximal tubular cells, Liver - Hepatocytes"
AGXT2,Group enriched,Detected in some,44,kidney: 200.3;liver: 119.7,"Kidney - Proximal tubular cells, Liver - Hepatocytes"
AHCYL2,Tissue enhanced,Detected in all,,choroid plexus: 266.4;intestine: 171.7,"Kidney - Proximal tubular cells, Lung - Alveolar cells type 2, Testis - Sertoli cells"
AHNAK2,Tissue enhanced,Detected in many,,skin 1: 296.4,"Breast - Fibroblasts, Prostate - Smooth muscle cells, Skin - Keratinocyte (granular)"
AHRR,Tissue enriched,Detected in many,8,testis: 45.1,"Kidney - Endothelial cells, Testis - Early spermatids"
AHSG,Tissue enriched,Detected in some,4328,liver: 5638.7,"Liver - Hepatocytes, Testis - Late spermatids"
AHSP,Tissue enriched,Detected in many,63,bone marrow: 1643.2,"Liver - Erythroid cells, Skin - Sebaceous gland cells"
AICDA,Tissue enriched,Detected in some,7,lymphoid tissue: 11.0,
AIF1,Tissue enhanced,Detected in all,,bone marrow: 231.8;lymphoid tissue: 338.3,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Kidney - Podocytes, Liver - Kupffer cells, Pancreas - Macrophages, Prostate - Macrophages, Skeletal muscle - Macrophages, Stomach - Macrophages, Testis - Macrophages, Thyroid - Macrophages"
